,,Oby Sorrel,Canada,70% Dark Bites,20-May-22,"$9,156",353,"$3,752",Bites,,,,
,,Marney O'Breen,Australia,70% Dark Bites,14-Mar-22,"$4,676",195,"$2,073",Bites,,,,
,,Camilla Castle,New Zealand,Mint Chip Choco,21-Mar-22,"$5,992",461,"$2,983",Bars,,,,
,,Karlen McCaffrey,UK,85% Dark Bars,18-May-23,"$6,020",669,"$4,716",Bars,,,,
,,Camilla Castle,Canada,White Choc,25-Feb-22,"$9,548",597,"$4,997",Other,,,,
,,Karlen McCaffrey,India,70% Dark Bites,22-Jun-23,"$10,073",458,"$4,869",Bites,,,,
,,Marney O'Breen,USA,85% Dark Bars,29-May-23,"$3,640",243,"$1,713",Bars,,,,
,,Madelene Upcott,UK,Manuka Honey Choco,6-May-22,"$3,157",167,"$1,867",Other,,,,
,,Camilla Castle,UK,Drinking Coco,7-Apr-23,"$4,886",175,"$2,419",Other,,,,
,,Curtice Advani,UK,Organic Choco Syrup,25-May-23,$7,1,$5,Other,,,,
,,Van Tuxwell,Canada,Baker's Choco Chips,3-Feb-23,"$19,131","1,063","$5,602",Bars,,,,
,,Ches Bonnell,New Zealand,Almond Choco,27-Jan-22,"$9,051",378,"$4,615",Bars,,,,
,,Camilla Castle,New Zealand,Drinking Coco,31-May-22,"$2,905",108,"$1,493",Other,,,,
,,Beverie Moffet,Canada,Peanut Butter Cubes,6-Sep-22,$245,11,$124,Bites,,,,
,,Husein Augar,UK,Milk Bars,31-Jan-23,"$4,522",377,"$1,497",Bars,,,,
,,Andria Kimpton,India,Raspberry Choco,3-Mar-22,"$8,449",313,"$2,999",Bars,,,,
,,Ches Bonnell,Australia,Manuka Honey Choco,29-Mar-23,"$6,174",325,"$3,634",Other,,,,
,,Brien Boise,Canada,Manuka Honey Choco,29-Nov-22,"$8,428",649,"$7,256",Other,,,,
,,Wilone O'Kielt,Canada,Almond Choco,20-Jun-23,"$4,508",174,"$2,125",Bars,,,,
,,Dotty Strutley,India,Spicy Special Slims,17-May-22,"$12,810",442,"$6,953",Bites,,,,
,,Wilone O'Kielt,USA,Milk Bars,14-Jul-22,"$6,461",381,"$1,513",Bars,,,,
,,Rafaelita Blaksland,UK,50% Dark Bites,17-Oct-22,"$6,916",692,"$1,958",Bites,,,,
,,Madelene Upcott,Canada,99% Dark & Pure,30-Sep-22,"$11,067","1,384","$2,685",Bars,,,,
,,Andria Kimpton,Canada,Choco Coated Almonds,30-Nov-22,"$11,571",965,"$4,246",Bites,,,,
,,Van Tuxwell,USA,Manuka Honey Choco,26-May-22,"$6,629",510,"$5,702",Other,,,,
,,Gunar Cockshoot,Canada,After Nines,5-May-23,"$3,780",199,"$1,928",Bites,,,,
,,Marney O'Breen,Canada,Fruit & Nut Bars,15-Jul-22,"$5,117",394,"$2,872",Bars,,,,
,,Van Tuxwell,Australia,50% Dark Bites,14-Oct-22,"$13,699","1,713","$4,848",Bites,,,,
,,Ches Bonnell,India,Eclairs,13-Jan-22,"$3,808",424,"$2,027",Bites,,,,
,,Wilone O'Kielt,UK,Drinking Coco,12-May-22,"$1,596",60,$829,Other,,,,
,,Jan Morforth,New Zealand,Choco Coated Almonds,1-Mar-22,"$9,926",828,"$3,643",Bites,,,,
,,Oby Sorrel,USA,Caramel Stuffed Bars,18-Apr-23,"$4,235",530,"$2,083",Bars,,,,
,,Brien Boise,India,Smooth Sliky Salty,4-May-22,"$7,917",417,"$3,478",Bars,,,,
,,Oby Sorrel,Australia,99% Dark & Pure,20-Jun-23,"$16,653","1,851","$3,591",Bars,,,,
,,Jan Morforth,UK,Orange Choco,20-Sep-22,"$5,467",189,"$2,387",Bars,,,,
,,Andria Kimpton,New Zealand,85% Dark Bars,2-Feb-23,"$4,158",462,"$3,257",Bars,,,,
,,Jehu Rudeforth,Australia,Almond Choco,22-May-23,"$11,767",491,"$5,995",Bars,,,,
,,Beverie Moffet,India,Mint Chip Choco,14-Jul-22,"$3,115",284,"$1,837",Bars,,,,
,,Mallorie Waber,India,Organic Choco Syrup,21-Apr-22,"$4,984",454,"$2,057",Other,,,,
,,Ches Bonnell,USA,Peanut Butter Cubes,20-Jun-22,"$16,884",938,"$10,609",Bites,,,,
,,Gigi Bohling,UK,70% Dark Bites,2-Feb-22,"$16,464",634,"$6,739",Bites,,,,
,,Roddy Speechley,Australia,Peanut Butter Cubes,17-Mar-22,"$6,811",359,"$4,060",Bites,,,,
,,Van Tuxwell,UK,After Nines,23-Feb-23,"$1,498",79,$766,Bites,,,,
,,Marney O'Breen,India,Choco Coated Almonds,25-Feb-22,"$1,561",196,$862,Bites,,,,
,,Kelci Walkden,USA,Raspberry Choco,18-Jan-22,"$4,662",187,"$1,791",Bars,,,,
,,Jehu Rudeforth,India,White Choc,9-Feb-22,"$5,075",462,"$3,867",Other,,,,
,,Gunar Cockshoot,India,Almond Choco,12-May-22,"$3,479",129,"$1,575",Bars,,,,
,,Oby Sorrel,India,Organic Choco Syrup,21-Apr-22,"$5,614",511,"$2,315",Other,,,,
,,Ches Bonnell,UK,50% Dark Bites,25-May-23,"$2,520",360,"$1,019",Bites,,,,
,,Husein Augar,Australia,70% Dark Bites,2-Jun-22,"$8,113",369,"$3,922",Bites,,,,
,,Jan Morforth,India,Raspberry Choco,3-Nov-22,"$9,471",327,"$3,133",Bars,,,,
,,Andria Kimpton,New Zealand,Smooth Sliky Salty,19-Jan-23,"$9,331",492,"$4,103",Bars,,,,
,,Wilone O'Kielt,Australia,85% Dark Bars,6-Dec-22,"$3,528",353,"$2,489",Bars,,,,
,,Karlen McCaffrey,USA,99% Dark & Pure,17-Aug-22,"$16,317","3,264","$6,332",Bars,,,,
,,Mallorie Waber,Australia,Orange Choco,5-Aug-22,"$6,335",235,"$2,968",Bars,,,,
,,Jehu Rudeforth,New Zealand,Drinking Coco,1-Mar-22,"$2,261",99,"$1,368",Other,,,,
,,Madelene Upcott,India,85% Dark Bars,26-May-22,"$9,345","1,039","$7,325",Bars,,,,
,,Van Tuxwell,USA,Drinking Coco,22-Jun-22,"$10,381",385,"$5,321",Other,,,,
,,Beverie Moffet,New Zealand,Fruit & Nut Bars,26-Dec-22,$126,14,$102,Bars,,,,
,,Van Tuxwell,UK,Peanut Butter Cubes,26-Jan-23,"$2,485",113,"$1,278",Bites,,,,
,,Dotty Strutley,Canada,Orange Choco,22-Dec-22,$175,7,$88,Bars,,,,
,,Kelci Walkden,USA,Choco Coated Almonds,4-Aug-22,"$4,522",566,"$2,490",Bites,,,,
,,Barr Faughny,USA,Peanut Butter Cubes,30-Mar-23,"$1,358",76,$860,Bites,,,,
,,Barr Faughny,Canada,Smooth Sliky Salty,5-Dec-22,"$5,467",274,"$2,285",Bars,,,,
,,Oby Sorrel,New Zealand,Peanut Butter Cubes,5-Dec-22,"$6,832",380,"$4,298",Bites,,,,
,,Dotty Strutley,UK,70% Dark Bites,29-Jul-22,"$2,184",84,$893,Bites,,,,
,,Gunar Cockshoot,USA,Eclairs,5-Apr-23,"$9,044","1,508","$7,208",Bites,,,,
,,Beverie Moffet,UK,Orange Choco,26-Apr-22,"$1,477",62,$783,Bars,,,,
,,Rafaelita Blaksland,USA,70% Dark Bites,22-Dec-22,"$7,378",274,"$2,913",Bites,,,,
,,Marney O'Breen,USA,Raspberry Choco,21-Mar-22,"$5,782",223,"$2,136",Bars,,,,
,,Gigi Bohling,Canada,After Nines,2-May-22,"$7,497",441,"$4,273",Bites,,,,
,,Van Tuxwell,New Zealand,50% Dark Bites,30-Jun-22,"$4,837",807,"$2,284",Bites,,,,
,,Wilone O'Kielt,Canada,Manuka Honey Choco,6-Feb-23,"$10,843",835,"$9,335",Other,,,,
,,Kaine Padly,Australia,70% Dark Bites,2-Jan-23,"$13,153",488,"$5,187",Bites,,,,
,,Ches Bonnell,UK,Orange Choco,17-May-23,"$12,166",507,"$6,403",Bars,,,,
,,Gigi Bohling,Australia,Almond Choco,22-Feb-23,"$1,750",59,$720,Bars,,,,
,,Jan Morforth,USA,50% Dark Bites,9-Jun-22,"$14,217","2,031","$5,748",Bites,,,,
,,Curtice Advani,USA,Organic Choco Syrup,5-Jun-23,"$4,382",877,"$3,973",Other,,,,
,,Dotty Strutley,USA,Almond Choco,25-Mar-22,"$4,494",180,"$2,198",Bars,,,,
,,Gigi Bohling,UK,Choco Coated Almonds,25-Apr-23,"$7,581",632,"$2,781",Bites,,,,
,,Oby Sorrel,Australia,85% Dark Bars,2-Jan-23,"$6,174",441,"$3,109",Bars,,,,
,,Madelene Upcott,UK,99% Dark & Pure,9-Aug-22,"$5,026","1,006","$1,952",Bars,,,,
,,Dennison Crosswaite,UK,Smooth Sliky Salty,10-Jan-23,"$1,190",52,$434,Bars,,,,
,,Husein Augar,Canada,Caramel Stuffed Bars,7-Feb-22,"$19,411","1,942","$7,632",Bars,,,,
,,Ches Bonnell,Canada,Drinking Coco,11-Apr-22,$532,24,$332,Other,,,,
,,Kelci Walkden,India,After Nines,20-Jun-22,"$4,186",200,"$1,938",Bites,,,,
,,Wilone O'Kielt,India,Organic Choco Syrup,13-Jul-22,"$2,345",261,"$1,182",Other,,,,
,,Jan Morforth,USA,Eclairs,19-May-23,$980,196,$937,Bites,,,,
,,Husein Augar,New Zealand,Choco Coated Almonds,27-May-22,"$8,687",869,"$3,824",Bites,,,,
,,Kelci Walkden,India,Eclairs,2-Jan-23,"$4,725",945,"$4,517",Bites,,,,
,,Andria Kimpton,USA,Organic Choco Syrup,27-Jul-22,"$5,285",881,"$3,991",Other,,,,
,,Karlen McCaffrey,UK,Almond Choco,30-Mar-23,"$10,388",385,"$4,701",Bars,,,,
,,Oby Sorrel,UK,Peanut Butter Cubes,18-Jan-22,"$6,797",358,"$4,049",Bites,,,,
,,Barr Faughny,Australia,Fruit & Nut Bars,8-Nov-22,$14,2,$15,Bars,,,,
,,Andria Kimpton,USA,Peanut Butter Cubes,21-Apr-22,"$4,046",238,"$2,692",Bites,,,,
,,Kelci Walkden,Canada,Orange Choco,12-May-22,"$9,898",381,"$4,812",Bars,,,,
,,Barr Faughny,India,Smooth Sliky Salty,15-Jun-23,"$6,076",290,"$2,419",Bars,,,,
,,Dotty Strutley,India,Eclairs,22-Sep-22,"$6,055",606,"$2,897",Bites,,,,
,,Karlen McCaffrey,New Zealand,85% Dark Bars,6-Apr-23,"$2,989",230,"$1,622",Bars,,,,
,,Oby Sorrel,UK,White Choc,2-Jun-23,$980,82,$686,Other,,,,
,,Curtice Advani,UK,Milk Bars,26-May-22,"$17,080","1,220","$4,843",Bars,,,,
,,Kelci Walkden,India,Baker's Choco Chips,10-Apr-23,"$8,414",561,"$2,956",Bars,,,,
,,Dotty Strutley,India,Smooth Sliky Salty,10-Nov-22,"$6,363",277,"$2,310",Bars,,,,
,,Van Tuxwell,USA,Almond Choco,3-Jan-23,"$4,403",177,"$2,161",Bars,,,,
,,Jehu Rudeforth,Canada,Organic Choco Syrup,20-Apr-23,"$12,488","1,249","$5,658",Other,,,,
,,Marney O'Breen,India,Orange Choco,13-Sep-22,"$4,389",176,"$2,223",Bars,,,,
,,Van Tuxwell,Australia,Eclairs,22-Feb-23,$707,142,$679,Bites,,,,
,,Karlen McCaffrey,New Zealand,After Nines,23-Feb-22,"$14,203",836,"$8,101",Bites,,,,
,,Marney O'Breen,Australia,Smooth Sliky Salty,21-Jan-22,"$1,610",65,$542,Bars,,,,
,,Van Tuxwell,New Zealand,Organic Choco Syrup,8-Mar-23,"$2,093",233,"$1,055",Other,,,,
,,Gunar Cockshoot,India,Milk Bars,24-May-22,"$1,239",96,$381,Bars,,,,
,,Camilla Castle,Canada,Almond Choco,2-Mar-22,$553,23,$281,Bars,,,,
,,Gigi Bohling,USA,Fruit & Nut Bars,28-Apr-22,"$9,821","1,092","$7,961",Bars,,,,
,,Barr Faughny,New Zealand,Peanut Butter Cubes,5-Jun-23,$714,34,$385,Bites,,,,
,,Ches Bonnell,India,Almond Choco,23-Jun-23,"$7,147",286,"$3,492",Bars,,,,
,,Barr Faughny,Australia,Eclairs,7-Apr-23,"$1,911",319,"$1,525",Bites,,,,
,,Kaine Padly,Australia,Baker's Choco Chips,5-Apr-22,"$5,502",344,"$1,813",Bars,,,,
,,Van Tuxwell,New Zealand,Raspberry Choco,4-Apr-23,"$1,351",47,$450,Bars,,,,
,,Marney O'Breen,India,Caramel Stuffed Bars,21-Sep-22,"$4,200",525,"$2,063",Bars,,,,
,,Barr Faughny,New Zealand,Caramel Stuffed Bars,20-Jul-22,"$6,034",604,"$2,374",Bars,,,,
,,Karlen McCaffrey,UK,Organic Choco Syrup,13-Sep-22,"$7,392",672,"$3,044",Other,,,,
,,Roddy Speechley,UK,Baker's Choco Chips,5-Aug-22,"$3,500",195,"$1,028",Bars,,,,
,,Kaine Padly,UK,85% Dark Bars,6-Jun-23,"$12,691","1,270","$8,954",Bars,,,,
,,Oby Sorrel,USA,Raspberry Choco,13-Jul-22,"$5,334",206,"$1,973",Bars,,,,
,,Jehu Rudeforth,UK,Almond Choco,30-May-23,"$3,822",128,"$1,563",Bars,,,,
,,Brien Boise,UK,Almond Choco,4-May-23,"$5,495",190,"$2,320",Bars,,,,
,,Madelene Upcott,Canada,Fruit & Nut Bars,1-Dec-22,"$5,383",769,"$5,606",Bars,,,,
,,Beverie Moffet,Australia,Drinking Coco,31-Mar-23,"$9,499",396,"$5,473",Other,,,,
,,Dotty Strutley,Canada,85% Dark Bars,12-May-22,"$9,716",884,"$6,232",Bars,,,,
,,Beverie Moffet,USA,50% Dark Bites,4-Mar-22,"$2,324",291,$824,Bites,,,,
,,Mallorie Waber,UK,85% Dark Bars,22-May-23,"$7,735",704,"$4,963",Bars,,,,
,,Kaine Padly,New Zealand,White Choc,5-Jul-22,"$2,877",262,"$2,193",Other,,,,
,,Ches Bonnell,USA,Choco Coated Almonds,27-Apr-23,$714,72,$317,Bites,,,,
,,Wilone O'Kielt,Australia,White Choc,19-Apr-23,"$5,383",449,"$3,758",Other,,,,
,,Kaine Padly,USA,Milk Bars,20-Dec-22,"$9,863",658,"$2,612",Bars,,,,
,,Oby Sorrel,India,Choco Coated Almonds,17-Jun-22,"$4,634",422,"$1,857",Bites,,,,
,,Beverie Moffet,Australia,White Choc,24-Feb-22,"$5,705",408,"$3,415",Other,,,,
,,Jan Morforth,UK,Baker's Choco Chips,21-Apr-23,"$2,520",180,$949,Bars,,,,
,,Beverie Moffet,India,Almond Choco,5-May-23,"$5,264",182,"$2,222",Bars,,,,
,,Jehu Rudeforth,New Zealand,Smooth Sliky Salty,24-May-23,"$3,514",147,"$1,226",Bars,,,,
,,Beverie Moffet,USA,Peanut Butter Cubes,3-May-23,"$5,950",331,"$3,744",Bites,,,,
,,Brien Boise,USA,Organic Choco Syrup,25-Jul-22,"$3,549",710,"$3,216",Other,,,,
,,Karlen McCaffrey,UK,Mint Chip Choco,11-Jan-22,"$5,243",749,"$4,846",Bars,,,,
,,Wilone O'Kielt,India,Caramel Stuffed Bars,10-Nov-22,$903,113,$444,Bars,,,,
,,Kelci Walkden,UK,Mint Chip Choco,2-Jan-23,"$3,094",387,"$2,504",Bars,,,,
,,Rafaelita Blaksland,Australia,Peanut Butter Cubes,30-Jun-23,"$10,500",500,"$5,655",Bites,,,,
,,Madelene Upcott,UK,White Choc,14-Oct-22,"$6,335",488,"$4,085",Other,,,,
,,Roddy Speechley,Canada,Peanut Butter Cubes,23-Jun-23,"$2,464",130,"$1,470",Bites,,,,
,,Van Tuxwell,India,99% Dark & Pure,30-Jun-22,"$7,063",785,"$1,523",Bars,,,,
,,Madelene Upcott,USA,Smooth Sliky Salty,21-Feb-23,"$2,289",105,$876,Bars,,,,
,,Wilone O'Kielt,USA,50% Dark Bites,7-Oct-22,"$2,079",347,$982,Bites,,,,
,,Kaine Padly,Canada,Almond Choco,4-Aug-22,"$2,198",79,$965,Bars,,,,
,,Marney O'Breen,UK,Eclairs,12-Apr-23,"$13,664","2,278","$10,889",Bites,,,,
,,Madelene Upcott,Canada,85% Dark Bars,22-Feb-22,"$1,267",116,$818,Bars,,,,
,,Dennison Crosswaite,UK,Baker's Choco Chips,5-Apr-23,"$3,199",214,"$1,128",Bars,,,,
,,Beverie Moffet,USA,Caramel Stuffed Bars,17-Jun-22,"$9,345","1,335","$5,247",Bars,,,,
,,Jan Morforth,New Zealand,Fruit & Nut Bars,19-May-23,"$8,309",640,"$4,666",Bars,,,,
,,Jehu Rudeforth,Canada,Manuka Honey Choco,17-Jun-22,"$6,209",478,"$5,344",Other,,,,
,,Wilone O'Kielt,USA,Fruit & Nut Bars,21-Jun-23,"$1,134",88,$642,Bars,,,,
,,Andria Kimpton,USA,Mint Chip Choco,9-Jan-23,"$2,730",249,"$1,611",Bars,,,,
,,Van Tuxwell,UK,85% Dark Bars,5-May-23,"$3,598",400,"$2,820",Bars,,,,
,,Barr Faughny,USA,Spicy Special Slims,7-Apr-22,"$2,842",114,"$1,793",Bites,,,,
,,Brien Boise,India,Organic Choco Syrup,27-Jul-22,"$4,935",449,"$2,034",Other,,,,
,,Brien Boise,USA,Raspberry Choco,27-Jan-23,"$4,130",148,"$1,418",Bars,,,,
,,Van Tuxwell,USA,Orange Choco,28-Jul-22,"$9,219",330,"$4,168",Bars,,,,
,,Mallorie Waber,Australia,Raspberry Choco,8-Aug-22,"$3,115",125,"$1,198",Bars,,,,
,,Beverie Moffet,UK,Drinking Coco,5-May-23,"$3,311",133,"$1,838",Other,,,,
,,Mallorie Waber,USA,Caramel Stuffed Bars,13-Feb-23,"$1,708",214,$841,Bars,,,,
,,Kelci Walkden,Canada,Fruit & Nut Bars,14-Jan-22,"$14,609","1,124","$8,194",Bars,,,,
,,Oby Sorrel,India,85% Dark Bars,25-Jan-23,"$3,836",349,"$2,460",Bars,,,,
,,Dennison Crosswaite,New Zealand,Mint Chip Choco,5-May-23,$700,88,$569,Bars,,,,
,,Jan Morforth,New Zealand,Milk Bars,22-Mar-22,$343,21,$83,Bars,,,,
,,Beverie Moffet,USA,White Choc,23-Nov-22,"$2,009",183,"$1,532",Other,,,,
,,Oby Sorrel,UK,Milk Bars,20-Mar-23,"$4,270",252,"$1,000",Bars,,,,
,,Madelene Upcott,Canada,Milk Bars,17-May-22,"$3,297",220,$873,Bars,,,,
,,Gigi Bohling,Australia,Choco Coated Almonds,27-Dec-22,"$6,615",662,"$2,913",Bites,,,,
,,Madelene Upcott,USA,Baker's Choco Chips,31-Jan-22,"$1,715",96,$506,Bars,,,,
,,Gigi Bohling,New Zealand,Milk Bars,1-Aug-22,"$3,892",354,"$1,405",Bars,,,,
,,Jehu Rudeforth,India,Milk Bars,28-Jun-23,"$10,234",853,"$3,386",Bars,,,,
,,Barr Faughny,Canada,White Choc,25-Apr-23,"$12,775",799,"$6,688",Other,,,,
,,Madelene Upcott,Australia,Fruit & Nut Bars,17-Jan-22,"$19,411","1,494","$10,891",Bars,,,,
,,Wilone O'Kielt,India,Mint Chip Choco,9-Jan-23,"$1,092",91,$589,Bars,,,,
,,Dennison Crosswaite,USA,Caramel Stuffed Bars,9-Feb-22,"$19,663","2,809","$11,039",Bars,,,,
,,Curtice Advani,Canada,Peanut Butter Cubes,19-Jan-22,"$6,076",338,"$3,823",Bites,,,,
,,Van Tuxwell,UK,Manuka Honey Choco,14-Jan-22,"$1,666",93,"$1,040",Other,,,,
,,Brien Boise,USA,Fruit & Nut Bars,6-Apr-22,"$2,114",212,"$1,545",Bars,,,,
,,Barr Faughny,India,70% Dark Bites,28-Feb-23,"$9,968",454,"$4,826",Bites,,,,
,,Brien Boise,Australia,Milk Bars,29-Jun-22,"$16,471","1,099","$4,363",Bars,,,,
,,Curtice Advani,USA,White Choc,5-Jul-22,"$6,167",412,"$3,448",Other,,,,
,,Husein Augar,Australia,Peanut Butter Cubes,9-Dec-22,"$3,689",176,"$1,991",Bites,,,,
,,Van Tuxwell,New Zealand,85% Dark Bars,26-Apr-23,"$6,237",416,"$2,933",Bars,,,,
,,Wilone O'Kielt,India,Eclairs,11-Jan-22,"$4,900",490,"$2,342",Bites,,,,
,,Jehu Rudeforth,India,Drinking Coco,19-Apr-23,$840,32,$442,Other,,,,
,,Oby Sorrel,USA,Manuka Honey Choco,2-Jan-23,"$12,334",650,"$7,267",Other,,,,
,,Camilla Castle,USA,99% Dark & Pure,23-Nov-22,$161,15,$29,Bars,,,,
,,Van Tuxwell,Canada,70% Dark Bites,18-Jan-23,"$3,675",142,"$1,509",Bites,,,,
,,Jehu Rudeforth,UK,Smooth Sliky Salty,9-Feb-22,"$1,841",84,$701,Bars,,,,
,,Jan Morforth,New Zealand,70% Dark Bites,3-Jan-23,"$1,764",71,$755,Bites,,,,
,,Dotty Strutley,India,70% Dark Bites,7-Jun-23,"$5,481",220,"$2,339",Bites,,,,
,,Kelci Walkden,Canada,Drinking Coco,18-Oct-22,"$5,502",230,"$3,179",Other,,,,
,,Wilone O'Kielt,Australia,Mint Chip Choco,10-Mar-23,"$1,463",122,$789,Bars,,,,
,,Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,28-Dec-22,"$23,779","3,397","$13,350",Bars,,,,
,,Oby Sorrel,UK,50% Dark Bites,25-Nov-22,"$1,316",132,$374,Bites,,,,
,,Brien Boise,UK,Manuka Honey Choco,16-Jun-23,"$4,921",379,"$4,237",Other,,,,
,,Madelene Upcott,India,Orange Choco,17-Jan-22,"$11,914",426,"$5,380",Bars,,,,
,,Wilone O'Kielt,UK,Baker's Choco Chips,20-May-22,$819,46,$242,Bars,,,,
,,Barr Faughny,Australia,50% Dark Bites,18-Nov-22,$497,71,$201,Bites,,,,
,,Kelci Walkden,UK,After Nines,23-Feb-22,"$7,231",315,"$3,052",Bites,,,,
,,Gigi Bohling,India,White Choc,12-Jan-23,$917,77,$644,Other,,,,
,,Brien Boise,Australia,Organic Choco Syrup,13-Sep-22,"$3,234",294,"$1,332",Other,,,,
,,Madelene Upcott,India,After Nines,21-Dec-22,"$9,751",465,"$4,506",Bites,,,,
,,Marney O'Breen,Australia,Milk Bars,17-Mar-22,"$1,911",147,$584,Bars,,,,
,,Jehu Rudeforth,USA,50% Dark Bites,18-Nov-22,"$5,320",887,"$2,510",Bites,,,,
,,Brien Boise,USA,Smooth Sliky Salty,20-Jan-23,$448,19,$158,Bars,,,,
,,Ches Bonnell,New Zealand,Manuka Honey Choco,26-Apr-23,"$4,102",257,"$2,873",Other,,,,
,,Gigi Bohling,UK,Baker's Choco Chips,3-Mar-22,$602,41,$216,Bars,,,,
,,Van Tuxwell,UK,Spicy Special Slims,1-Dec-22,"$12,684",488,"$7,676",Bites,,,,
,,Camilla Castle,India,Drinking Coco,20-Jun-23,"$10,108",405,"$5,597",Other,,,,
,,Dennison Crosswaite,UK,Raspberry Choco,9-Sep-22,"$15,358",549,"$5,259",Bars,,,,
,,Husein Augar,India,Baker's Choco Chips,15-Feb-22,"$6,958",464,"$2,445",Bars,,,,
,,Gigi Bohling,USA,70% Dark Bites,14-Jan-22,"$2,408",105,"$1,116",Bites,,,,
,,Andria Kimpton,Canada,Drinking Coco,3-May-23,"$1,316",47,$650,Other,,,,
,,Roddy Speechley,Canada,Baker's Choco Chips,1-Jun-23,"$5,586",373,"$1,966",Bars,,,,
,,Camilla Castle,UK,Raspberry Choco,23-Nov-22,$385,14,$134,Bars,,,,
,,Andria Kimpton,New Zealand,Baker's Choco Chips,19-Apr-22,"$13,468",709,"$3,736",Bars,,,,
,,Ches Bonnell,Canada,Caramel Stuffed Bars,15-Nov-22,"$8,449",769,"$3,022",Bars,,,,
,,Curtice Advani,Canada,Milk Bars,31-Mar-22,"$7,329",459,"$1,822",Bars,,,,
,,Gigi Bohling,Australia,Baker's Choco Chips,18-Apr-22,"$2,345",138,$727,Bars,,,,
,,Husein Augar,Australia,Mint Chip Choco,1-Feb-22,"$2,695",337,"$2,180",Bars,,,,
,,Brien Boise,India,Fruit & Nut Bars,1-Dec-22,"$5,880",490,"$3,572",Bars,,,,
,,Ches Bonnell,New Zealand,85% Dark Bars,15-May-23,"$10,955",913,"$6,437",Bars,,,,
,,Dotty Strutley,Australia,Manuka Honey Choco,17-Feb-22,"$11,333",872,"$9,749",Other,,,,
,,Husein Augar,Australia,Drinking Coco,10-Jan-22,"$1,358",51,$705,Other,,,,
,,Gunar Cockshoot,New Zealand,Drinking Coco,21-Nov-22,$945,37,$511,Other,,,,
,,Oby Sorrel,India,Manuka Honey Choco,10-May-22,"$1,862",110,"$1,230",Other,,,,
,,Jan Morforth,India,Organic Choco Syrup,28-Feb-23,"$3,871",431,"$1,952",Other,,,,
,,Barr Faughny,UK,85% Dark Bars,15-Apr-22,"$6,601",551,"$3,885",Bars,,,,
,,Camilla Castle,UK,Spicy Special Slims,1-Jun-22,"$2,219",83,"$1,306",Bites,,,,
